ghidra_name,real_addr,proposed_name,subsystem,confidence,basis,purpose,notes,project_addr
FUN_0800108e,0x08003C8E,lib_set_errno,libc,Medium-High,Stores its argument through the pointer returned by the adjacent 12-byte accessor at 0x0800107C - the newlib __errno idiom,Sets errno.,"Pairs with lib_get_errno_ptr (0x0800107C). Only interesting as a marker that this region is compiler runtime, not firmware logic.",0x0800108E
FUN_08001572,0x08004172,lib_vfprintf_core,libc,Medium-High,"The function lib_sprintf delegates to, taking (format, stream, args, jumptable)",printf format engine.,,0x08001572
FUN_08002748,0x08005348,lib_fpe_strerror,libc,High,"Owns ""Invalid Operation"", ""Divide By Zero"", ""Overflow"", ""Underflow"", ""Inexact Result"" and ""SIGFPE: Arithmetic exception: """,Maps floating-point exception flags to text.,"Compiler runtime, not firmware logic - listed so a reader skips it.",0x08002748
FUN_800037b0,0x080063B0,Display_BufferFlush,Display,Medium,Existing catalog entry; the PC12 'backlight' claim conflicts with hardware-verified PC6,Streams the frame buffer over DMA.,"*** RESOLVED *** docs/display.md calls PC12 the backlight gate. Hertzz58 HW_CONFIRMED PC12 as the beep/speaker switch (BEEP_SW), and the backlight as PC6 with PB3 secondary. So the PC12 handling in this function is audio gating, not display.",0x080037B0
FUN_08003cf8,0x080068F8,APRS_DrawBeaconList,APRS,Medium-High,"Owns ""Beacon List"" plus the row formats ""%s-%d"" (callsign-SSID), ""%02d:%02d"" and the ""--------"" / ""--.--"" empty placeholders",Renders the received APRS beacon list.,"The callsign-SSID shape of ""%s-%d"" is what makes this APRS rather than a generic list.",0x08003CF8
FUN_08004340,0x08006F40,GPS_DrawAltitudeTime,GPS,Medium-High,"Owns ""T:%02d:%02d:%02d"", ""H:%.3fft"", ""H:%d.%dm"" and the ""H:--.--"" placeholder","Draws GPS time and altitude, in feet or metres.",The paired feet/metres forms imply a units setting selects between them.,0x08004340
FUN_80004948,0x08007548,GPS_DrawCompassScreen,GPS/UI,Medium,"Literal pool reaches 'ALT:', 'DIR:', 'SPD:', '%c %'",Renders a second GPS/compass view.,Newly identified via string recovery.,0x08004948
FUN_8000592c,0x0800852C,GPS_DrawInfoScreen,GPS/UI,Medium-High,"Literal pool reaches the strings 'LAT:', 'ALT:', 'SPD:', 'DIS:', 'DIR:', '%.5f'",Renders the GPS information page.,"Newly identified via string recovery, which was only possible after re-basing.",0x0800592C
FUN_0800788c,0x0800A48C,RADIO_DrawBandLimits,UI,Low-Medium,"Owns ""144-146/430-440"" and ""Super Mode""",Shows the configured transmit band limits.,"144-146/430-440 is the restricted amateur allocation; ""Super Mode"" is presumably the unrestricted setting. Shape-based.",0x0800788C
FUN_08007e7c,0x0800AA7C,AUDIO_QueueTonePrompt,Audio,Low-Medium,"Fills a small command buffer at SRAM 0x200106FC ([2]=count, [3..5]=codes) and raises a pending flag; gated on three state checks",Queues a beep or voice prompt for the audio task.,"28 callers. param_1 == 9 queues a 3-entry sequence (0x91,0xFF,0x91); otherwise a single entry of param_1-0x6F. RT-890 analog: BEEP_Play / AUDIO_PlaySample. Element meanings unconfirmed.",0x08007E7C
FUN_08007ed0,0x0800AAD0,AUDIO_PlayTonePromptBlocking,Audio,Medium-High,"Decompile: calls AUDIO_QueueTonePrompt then spins on the queue-pending flag at SRAM 0x200106FC, pumping tasks until it clears",Queues a prompt and waits for it to finish.,Blocking counterpart to AUDIO_QueueTonePrompt. 10 callers.,0x08007ED0
FUN_080080f4,0x0800AB04,BK4829_LoadAgcAndAfTables,RF/BK4829,Medium,"Decompile: seven writes to register 9 encoding index-in-high-nibble table entries (0x9037, 0xA025 ... 0xF09F), then 0x74/0x75, 0x44/0x45 and 0x54/0x55",Loads the AGC gain table and the audio response coefficients.,"RT-890 BK4819_SetAFResponseCoefficients touches the same 0x44/0x45/0x54/0x55/0x74/0x75 group; the register-9 sequence is the separate AGC table load. The 950 writes fixed constants where the 890 selects them from calibration, so these may be defaults later overwritten.",0x08007F04
FUN_8000834c,0x0800AF4C,BT_Usart1Init,Bluetooth,Medium-High,Existing entry; PA9/PA10 independently confirmed by Hertzz58 (BT_TX/BT_RX on USART1),Initialises USART1 at 115200 for the Bluetooth module.,Agreement between both sources. Note this conflicts with pinout.md's separate claim that SI4732 uses PA8/PA9.,0x0800834C
FUN_080088f0,0x0800B4F0,RF_ComputeTxFrequency,RF,High,"Decompile, fully readable now: reads the active slot index from SRAM 0x2000A488, then base freq +0x108, shift dir +0x130, offset +0x134, and stores the result to +0x114","Derives the TX frequency from the RX frequency, repeater shift direction and offset.","Refines the existing entry RF_Apply_Frequency_Offset. Shift direction: 1 = plus, 2 = minus, anything else = simplex (TX = RX). Slot stride is 0x58.",0x080088F0
FUN_08008ce4,0x0800B8E4,SYS_PollTasks,System,Medium,The function SYS_DelayMsPumping spins on; the natural place for the cooperative scheduler tick,Runs one pass of the background task set.,"Not yet decomposed - worth doing, it should name much of the task layer.",0x08008CE4
FUN_08008f50,0x0800BB50,CHANNEL_ReloadActive,Storage,Medium-High,"Decompile: optionally clears the edit buffer, then calls CHANNEL_LoadToSlot(active slot from radio-state +0xF4, read-from-flash = 1, channel number from radio-state +0x102), and optionally drops to idle afterwards",Reloads the currently selected channel from flash into its slot.,Also pins radio-state +0x102 as the live channel number - the same field CHANNEL_CommitEdit uses as the base for its zone arithmetic.,0x08008F50
FUN_08009110,0x0800BD10,CHANNEL_LoadToSlot,Storage,High,"Decompile: computes a flash address as zone*0x800 + index*0x20, reads a 32-byte record via SPIFLASH_ReadBytes, BCD-decodes the frequency bytes and unpacks the flag byte into the radio state struct",Loads one stored channel into one of the three runtime slots.,"Refines the existing entry Channel_Load_Config. Full record map in work/out/channel_layout.md: 32-byte records, 64 per 0x800 zone, BCD frequencies, 12-byte name at +0x14, flag byte at +0x0F whose bit 7 switches to a 32-bit code at +0x10.",0x08009110
FUN_080094ac,0x0800C0AC,CHANNEL_CopyActiveToWork,Storage,Medium,Decompile: copies 0x58 bytes from the active slot record (0x2000A394 + slot*0x58 + 0x108) to 0x2000A768,Takes a working copy of the active channel.,Identifies SRAM 0x2000A768 as a 0x58-byte scratch copy of the live channel - the buffer the menu edits before CHANNEL_CommitEdit writes it back.,0x080094AC
FUN_0800953c,0x0800C13C,SYS_GetModeFlag,System,Low,Six-byte leaf returning the byte at SRAM 0x2000A254; 13 callers,Reads a global mode flag.,Named for its shape; the flag's meaning is not established. Used as a guard by AUDIO_QueueTonePrompt.,0x0800953C
FUN_0800a154,0x0800CD54,BT_CheckModuleName,Bluetooth,Medium,"Decompile: scans the receive buffer at SRAM 0x2000AE74 for 'G', then memcmps 7 bytes against the string at 0x08030198",Returns 1 if the attached Bluetooth module identifies as expected.,"The identity string is ""RAMBT9000U"" - a real BT module part number, and another string only visible after the 0x2C00 image correction.",0x0800A154
FUN_0800a550,0x0800D150,SYS_AlternateTick,System,Low-Medium,"Decompile: if the flag byte is set, clear it and return 1; otherwise set it and return 0 - so it alternates 0,1,0,1 on successive calls",Divide-by-two latch used to run work on alternate passes.,"Named for its behaviour. It gates the transmit branch in state 1, which initially looked like a PTT read - it is not; it is a rate divider. Marked Low-Medium because the intent behind the division is unconfirmed.",0x0800A550
FUN_0800aab0,0x0800D6B0,UI_ClearTextBuffers,UI,Low,Decompile: two adjacent bzero calls of 0x55 and 0x50 bytes over one base pointer,Clears a pair of adjacent buffers.,"Shape-only. 7 callers, but the base pointer is not yet identified, so both the name and the purpose are guesses.",0x0800AAB0
FUN_0800aacc,0x0800D6CC,UI_DrawScreenRegion,UI,Medium-High,Decompile: switch on a region id; region 2 draws three selector boxes at x=0x1C/0x75/0xCE and highlights one according to SRAM 0x2000A394[0xF4],Redraws one numbered region of the main screen.,"25 callers. SRAM 0x2000A394+0xF4 is the active-slot index - the same field the existing catalogue noted for RF_Apply_Frequency_Offset (""index at DAT_80008930+0xf4""), which corroborates both.",0x0800AACC
FUN_8000ac7c,0x0800D87C,GPS_ParseNmeaCoordinate,GPS,Medium,Existing entry,Parses DDMM.MMMM NMEA coordinates.,Retained. Note the GPS UART pin assignment below is disputed.,0x0800AC7C
FUN_0800aefc,0x0800DAFC,GPS_ConfigureNmeaOutput,GPS,High,"Sends the literal NMEA command ""$PCAS03,5,0,0,0,0,3,7,60*"" - the CASIC/AT6558 proprietary sentence-rate configuration command",Configures which NMEA sentences the GPS module emits and at what rate.,"$PCAS03 identifies the GPS as a CASIC-protocol part (AT6558/AT6668 family), which is a hardware fact not previously recorded anywhere in the three repos.",0x0800AEFC
FUN_0800b318,0x0800DF18,CRC16_CCITT,Util,High,"Decompile: per byte, xor into the high byte then 8 shift-xor rounds with polynomial 0x1021",CRC-16-CCITT over a buffer.,"22 callers. Same polynomial and structure as PackageFmt.CrcValidation in the decompiled RT-950 updater (firmware/reference firmware/RT_950_EnUPDATE_ilspy), so the radio and the PC tool share the check.",0x0800B318
FUN_8000b368,0x0800DF68,DAC_ChannelGate,Audio,Medium,Existing entry,Sets/clears DAC control bits at 0x40007400.,Retained.,0x0800B368
FUN_0800b458,0x0800E058,Util_SetFlagBit0,Util,Low-Medium,"Decompile: sets or clears bit 0 of a 16-bit word through a pointer, chosen by the second argument",Sets or clears a single flag bit.,Trivial helper; named for its shape. Which flag word it operates on depends entirely on the caller.,0x0800B458
FUN_8000b7a6,0x0800E3A6,DELAY_WaitMS,BSP/Delay,High,"Existing catalog entry, confirmed: wraps FUN_8000b7c2 in an outer loop",Blocking millisecond delay.,RT-890 analog: DELAY_WaitMS(). Previously named Util_Delay_ms.,0x0800B7A6
FUN_8000b7c2,0x0800E3C2,DELAY_WaitUS,BSP/Delay,High,"Disassembly: count = arg*31, tight decrement loop",Blocking sub-millisecond busy-wait.,RT-890 analog: DELAY_WaitUS(). ~31 iterations/unit at 120 MHz is roughly 1 us. 20 direct callers.,0x0800B7C2
FUN_0800bb08,0x0800E708,UI_DrawVfoChannelMode,UI,Medium-High,"Owns ""VFO Mode"", ""CH Mode"" and "" CH-%03d """,Draws the VFO/memory mode indicator and channel number.,Pairs with the per-slot work-mode field packed into settings byte 0x1A.,0x0800BB08
FUN_0800c2b8,0x0800EEB8,UI_RefreshActiveVfo,UI,Medium,Decompile: a fixed five-call sequence that reloads and redraws using the active slot index from 0x2000A394[0xF4],Reloads and repaints the currently selected VFO.,13 callers; shape and the slot-index read are the evidence.,0x0800C2B8
FUN_0800c99c,0x0800F59C,CSS_FormatToneLabel,RF,High,"Format strings "" D%03oI"", "" D%03oN"" and "" %d.%dHz"" - DCS codes rendered in OCTAL with N/I suffixes, alongside a CTCSS frequency form",Renders a CTCSS frequency or DCS code for display.,"The %03o is the giveaway: DCS codes are conventionally written in octal, and N/I are the standard normal/inverted suffixes. RT-890 analog: the CTCSS_GetOption / DCS_GetOption pair in app/css.c.",0x0800C99C
FUN_0800cc20,0x0800F820,UI_FormatDisplayName,UI,Low-Medium,Decompile: space-fills a 16-byte field then maps each source byte through the character table at 0x08030436,Renders a stored name/ID into displayable characters.,Shape-based; the exact source record is not pinned down.,0x0800CC20
FUN_0800d2dc,0x0800FEDC,UI_DrawStatusBar,UI,Medium-High,"Decompile: fills x 0..0xF0, y 0x126..0x140 then blits a fixed set of icons with LCD_DrawImage, each chosen from a pair by a settings or state byte",Redraws the bottom status bar and its icons.,"The window bounds confirm the panel geometry as 240 wide by 320 tall (portrait): x clamps at 0xF0 = 240, y at 0x140 = 320. docs/display.md describes it as ""320 x 240"", which is the same two numbers the other way round and is worth restating as 240x320 portrait to avoid confusion.",0x0800D2DC
FUN_8000dca0,0x080108A0,AUDIO_StartDmaPlayback,Audio,Medium,Existing entry (AudioDMA_Trigger),Arms DMA2 with a sample buffer targeting DAC1.,Retained from existing catalogue.,0x0800DCA0
FUN_0800de58,0x08010A58,UI_ShowAlert,UI,Medium,"Mode setter called with 0, 3, 4 and 5 from the state machine; kind 3 fills a small record (entry 9, terminator 0xFF), claims the audio path via AUDIO_SetPathOwner and loads a timeout from settings[0x0C]",Raises a timed alert/popup and its accompanying tone.,,0x0800DE58
FUN_0800e214,0x08010E14,UI_ClearKeyState,UI,Low,Clears offsets 0x28/0x29/0x2B and sets 0x14 in the 0x2000A334 state struct; 24 callers,Clears pending key/repeat state.,Shape-based only.,0x0800E214
FUN_8000e2e0,0x08010EE0,ENCODER_HandleQuadrature,Input,Medium-High,Existing entry; PB4/PB5 independently hardware-confirmed by Hertzz58 (ENC_A/ENC_B),Debounces the front-panel rotary encoder.,Masks 0x10/0x20 = PB4/PB5. Agreement between both sources.,0x0800E2E0
FUN_0800e95c,0x0801155C,UI_DrawUpdateScreen,UI,Medium,"Owns ""RT-950"" and ""UPDATE""",Draws the firmware-update screen.,,0x0800E95C
FUN_0800f0c4,0x08011CC4,CHANNEL_CommitEdit,Storage,Medium,"Decompile: calls SETTINGS_SyncToFlash, then for a memory-mode slot calls CHANNEL_SaveRecord with the slot record at +0x210 and the name at +0x141",Persists the edited channel and the settings together.,"Branches on the zone/flat mode flag at 0x2000A7E0[6], the same flag CHANNEL_LoadToSlot uses for addressing.",0x0800F0C4
FUN_0800f2b0,0x08011EB0,SI4732_SetMute,SI4732,High,"Decompile: mute path writes property 0x4001 = 3; unmute path writes 0x4001 = 0 then 0x4000 = 0x3F. In the Si47xx property map 0x4001 is RX_HARD_MUTE (bit0 right, bit1 left, so 3 = both) and 0x4000 is RX_VOLUME (0x3F = maximum)",Mutes or unmutes the broadcast receiver.,Independently corroborates SI4732_SetProperty: these are documented Si47xx property numbers used with exactly their documented semantics.,0x0800F2B0
FUN_0800f7ac,0x080123AC,DTMF_DrawPagingStatus,DTMF,Medium,"Owns ""P: ALL!"", ""P: CALL!"", ""P: GOUNP!"" and ""ID: %s""",Draws paging/selective-call status.,"""GOUNP"" is likely a truncated or mistyped ""GROUP"" in the vendor strings - worth preserving verbatim rather than correcting.",0x0800F7AC
FUN_0800f978,0x08012578,STORAGE_FindFirstSetBit,Storage,Medium-High,"Decompile: reads up to 32 bytes from the serial flash via SPIFLASH_ReadBytes, then scans LSB-first for the first set bit and returns its bit index, or 0xFF when none is set",Finds the first marked entry in a flash-resident allocation bitmap.,"Implies the flash carries a used/free bitmap alongside the channel records - one bit per channel. Return 0xFF is the not-found sentinel. Useful for ""next free channel"" and ""next programmed channel"" logic.",0x0800F978
FUN_08010444,0x08013044,CHANNEL_SaveRecord,Storage,Medium,"Called by the channel-save path as (channel_number, record_pointer, name_pointer), with the channel number computed as base + zone * 0x40",Writes one channel record and its name to flash.,"The zone * 0x40 term independently confirms 64 channels per zone, matching the 0x800 zone / 0x20 record arithmetic in CHANNEL_LoadToSlot.",0x08010444
FUN_0801054c,0x0801314C,SETTINGS_SyncToFlash,Storage,Medium-High,"Decompile: gathers 0x20 bytes from the settings struct at 0x2000A7C0 and 0x25 from 0x2000A7E0 into one 0x60 buffer, CRC16s 0x5E bytes of it, finds a slot via STORAGE_FindFirstSetBit(0x9000, 6), then compares the stored CRC at slot*0x60 + 0x906E before deciding whether to rewrite","Writes the settings block to flash, skipping the write when the CRC already matches.","This is a wear-levelling scheme: a 6-byte allocation bitmap at flash 0x9000 (48 slots), 0x60-byte records, the CRC stored at record offset 0x6E, and a slot cap of 0x29 (41). Explains the 0x9000 address noted vaguely in the original catalogue for Flash_ReadWrite_Block. Read this before writing settings by hand.",0x0801054C
FUN_08011528,0x08014128,SI4732_DrawBandList,SI4732,High,"Format strings ""153-279"", ""520-1710"", "" 2.3-30"", "" 64-108"", ""0.15-30"" - the standard LW, MW, SW and FM broadcast band edges in kHz and MHz",Draws the broadcast band selection list.,"These are exactly the bands an Si4732 covers: LW 153-279 kHz, MW 520-1710 kHz, SW 2.3-30 MHz, FM 64-108 MHz. Only visible after the base was corrected.",0x08011528
FUN_8001272c,0x0801532C,GPIO_Init,BSP/GPIO,High,"AT32 SDK gpio_init(); signature (uint*, ushort*) = (gpio_type*, gpio_init_type*)",Applies a gpio_init_type struct to a port.,"23 call sites. Vendor library function from at32f403a_407_gpio.c, which is checked into the RE repo under 'reference project/'.",0x0801272C
FUN_80012c20,0x08015820,GPIO_InputDataRead,BSP/GPIO,High,"Disassembly: ldr r0,[r0,#8]; uxth -> reads idt (offset 0x08)",Reads the whole 16-bit input data register of a port.,SDK gpio_input_data_read(). Used by the keypad row sense.,0x08012C20
FUN_80012c26,0x08015826,GPIO_InputDataBitRead,BSP/GPIO,High,Disassembly reads idt and compares against mask; returns bool,Tests one or more input pins.,SDK gpio_input_data_bit_read(). 51 call sites.,0x08012C26
FUN_80012c34,0x08015834,GPIO_OutputDataRead,BSP/GPIO,High,"Disassembly: ldr r0,[r0,#12]; uxth -> reads odt (offset 0x0C)",Reads back the output data register.,SDK gpio_output_data_read(). Used by the LCD bus to preserve control bits when writing the data byte.,0x08012C34
FUN_80012c3a,0x0801583A,GPIO_BitsReset,BSP/GPIO,High,"Disassembly: str r1,[r0,#20] -> writes clr (offset 0x14), confirmed against at32f403a_407_gpio.h",Drives the given pins LOW.,*** CORRECTION *** The existing catalog and docs/pinout.md treat this as the 'set' helper. It is gpio_bits_reset. Every pin-polarity statement derived from it is inverted. 124 call sites. Independently corroborated by Hertzz58 pinmap: LCD CS 'ClearPin=assert'.,0x08012C3A
FUN_80012c3e,0x0801583E,GPIO_BitsSet,BSP/GPIO,High,"Disassembly: str r1,[r0,#16] -> writes scr (offset 0x10)",Drives the given pins HIGH.,*** CORRECTION *** Mirror of the above; previously read as 'reset'. 107 call sites.,0x08012C3E
FUN_80012c42,0x08015842,GPIO_DefaultParaInit,BSP/GPIO,High,Disassembly writes 0xFFFF/2/4 into a struct; matches SDK gpio_default_para_init() field-for-field,Fills a gpio_init_type with library defaults.,"pins=ALL, mode=INPUT, drive=STRONGER.",0x08012C42
FUN_80012c52,0x08015852,GPIO_PortWrite,BSP/GPIO,High,"Disassembly: str r1,[r0,#12] -> writes odt",Writes all 16 output bits at once.,SDK gpio_port_write(). This is how the LCD data byte reaches PD8-PD15.,0x08012C52
FUN_80012f68,0x08015B68,ZONE_MenuScreen,UI,Low-Medium,Literal pool reaches 'Zone',Zone selection UI.,Newly surfaced.,0x08012F68
FUN_08012ff4,0x08015BF4,CSS_ClassifyCode,RF,Medium-High,Called on the raw 16-bit sub-audible values from the channel record; its result is stored as the code TYPE alongside the raw code,Decides whether a stored sub-audible code is CTCSS or DCS.,RT-890 analog: CSS_ConvertCode / the CTCSS_GetOption + DCS_GetOption pair in app/css.c. The wide-code path in CHANNEL_LoadToSlot bypasses it and forces type 2.,0x08012FF4
FUN_80013618,0x08016218,KEY_ScanMatrix,Input,High,Full disassembly reviewed at the correct base,"Scans the 4x5 keypad and returns a key code, 0xFF for none.",*** CORRECTION *** The existing note says it 'drives PC0-PC3 high'. It drives them LOW (gpio_bits_reset) and looks for a row pulled low: the no-key case is rows == 0xF. Active-low matrix with row pull-ups. Gated by PE5 and PA12. Column masks and key codes come from a table reached via the literal at 0x080136E0.,0x08013618
FUN_80013b64,0x08016764,ZONE_DrawEntry,UI,Low,Literal pool reaches 'Zone',Zone list rendering.,Newly surfaced.,0x08013B64
FUN_80013d6c,0x0801696C,GPIO_SetPinDirection,BSP/GPIO,Medium-High,RT-890 analog: SDA_SetInput()/SDA_SetOutput() in driver/bk4819.c,Reconfigures one pin between input and output at runtime.,"param_3: 0 = input, 1 = output. Required because the BK4829 data line is bidirectional.",0x08013D6C
FUN_80013f90,0x08016B90,GPS_UsartInit,GPS,Low-Medium,Existing entry claims USART3 on PC10/PC11,Brings up the GPS UART at 9600 baud.,"*** DISPUTED *** Hertzz58 hardware-verified GPS on USART3 PB10/PB11 (the default, non-remapped pins). USART3 also has a partial remap to PC10/PC11, so both are physically possible - but PC10/PC11 would collide with the UART4 claim in pinout.md. Re-check the IOMUX remap register before trusting either.",0x08013F90
FUN_080148d4,0x080174D4,UI_LoadBacklightTimeout,UI,Medium,"Decompile: maps settings byte [3] to a countdown at UI-state +0x30 - values under 5 scale by 50, 5 maps to 300, above 5 scales by 600 from a base of 5",Loads the backlight timeout from settings.,"The piecewise mapping is the usual ""short steps then long steps"" menu scale. Identifies settings 0x2000A7C0[3] as the backlight timeout.",0x080148D4
FUN_80014bd8,0x080177D8,BT_MenuScreen,Bluetooth/UI,Low-Medium,Literal pool reaches the fragment 'UETOOTH' (BLUETOOTH),Bluetooth settings screen.,Newly surfaced.,0x08014BD8
FUN_80014cf8,0x080178F8,UI_DrawTextField,UI,Low,"29 callers, 6 args, 444 bytes - the shape of a text/label draw",Draws a text field.,Speculative; shape-based only.,0x08014CF8
FUN_0801523c,0x08017E3C,UI_DrawPanel,UI,Medium,"Called repeatedly by UI_DrawScreenRegion with (x, y, colour) to paint the selector boxes",Draws a filled panel/box.,11 callers.,0x0801523C
FUN_080152ec,0x08017EEC,UI_DrawHLine,UI,Medium,"Called as (0, 0x74, 0xF0, 0xFFFF) - x, y, width, colour - after the selector row",Draws a horizontal rule.,,0x080152EC
FUN_800153fc,0x08017FFC,LCD_SetWindow,Display,Medium-High,Same store pattern as FUN_80015414 without the fill branch,Sets the active drawing window only.,,0x080153FC
FUN_80015414,0x08018014,LCD_SetWindowAndFill,Display,High,"Decompile: stores window into the LCD context struct, then optionally fills the frame buffer with an RGB565 constant",Sets the active window and optionally clears it to a colour.,59 callers. Clamps width to 0x140 (320) and fill length to 0x9600. RT-890 analog: DISPLAY_Fill.,0x08015414
FUN_80015470,0x08018070,LCD_FlushWindow,Display,High,"Decompile: SetAddressWindow from context struct, RAMWR, then byte-bangs the frame buffer to PD8-PD15",Pushes the current window from the frame buffer to the panel.,62 callers - the most-called function in the image. Reads g_20000BD0 via (g_2000A1D0 - 0x9600).,0x08015470
FUN_800156dc,0x080182DC,LCD_BlitRectangle,Display,Medium,"Existing catalog entry, not re-verified in this pass",Streams a rectangle of RGB565 data to the panel.,Retained from the existing catalogue.,0x080156DC
FUN_80015730,0x08018330,LCD_PushPixel,Display,Medium-High,Called once per pixel from the 1-bpp blitter,Writes a single RGB565 pixel into the frame buffer.,,0x08015730
FUN_08015794,0x08018394,LED_SetGreen,Indicators,High,"Drives GPIOC bit 0x4000 (PC14) with a shadow flag at SRAM 0x200001DA[3]. Hertzz58 HW_CONFIRMED: PC14 = green LED, state tracked at +3 of the same little struct",Turns the green status LED on or off.,"*** CORRECTS MY OWN EARLIER GUESS *** I named this DISPLAY_SetPanelEnable from its shape and flagged it as disputed. It is the green LED. Hertzz58 records having made exactly the same misidentification and corrected it: ""PC14: GREEN LED ... Previously misidentified as LCD enable"". Argument 0 = off, 1 = on, 2 = turn on only if currently off. Their struct sits at 0x200001DE in firmware V0.27 vs 0x200001DA in the V0.18 image analysed here - a 4-byte shift - but the +2/+3 field offsets match exactly.",0x08015794
FUN_080157d8,0x080183D8,LED_SetRed,Indicators,High,"Drives GPIOC bit 0x2000 (PC13) with a shadow flag at SRAM 0x200001DA[2], identical in shape to LED_SetGreen. Hertzz58 HW_CONFIRMED: PC13 = red LED, state tracked at +2",Turns the red status LED on or off.,"Argument 0 = off, 1 = on, 2 = turn on only if currently off. RADIO_RunStateMachine calls it with 1 on the transmit path, so red is the TX indicator; the many calls with 0 are teardown paths. 13 callers.",0x080157D8
FUN_08015820,0x08018420,Util_BitmapSet,Util,High,"Decompile: byte = base[index >> 3], mask = 1 << (index & 7), then OR or AND-NOT by the third argument",Sets or clears one bit in a packed bitmap.,"The write-side counterpart to STORAGE_FindFirstSetBit, so this is how the channel and settings allocation bitmaps are maintained. Any external tool that adds or deletes a channel has to do the same.",0x08015820
FUN_0801731c,0x08019F1C,SIGNAL_SendIdBurst,Signalling,Medium,"Called from RADIO_RunStateMachine as (0x100, id, 0) on the transmit tail and (0x180, id, 0) before transmit; the id is packed from four BCD nibbles at +0x15..+0x18. Body carries ~0x119 bytes of stack buffers, the shape of a tone/symbol sequence generator",Emits an identification burst (DTMF/ANI-style) before or after transmit.,First argument distinguishes the two contexts and is probably a duration or mode. Not decoded further.,0x0801731C
FUN_08017798,0x0801A398,SYS_FormatDeviceName,System,Medium-High,"Owns ""RT950Pro-%s"" together with ""%-*.*s"" padding forms",Builds the advertised device name.,The RT950Pro-<suffix> pattern is what a Bluetooth or programming-mode identity string looks like; the suffix source is not yet traced.,0x08017798
FUN_0801814c,0x0801AD4C,UI_ShowAntennaWarning,UI,High,"Owns the two-line string ""Please confirm that the / antenna has been replaced!""",Displays the antenna-change confirmation prompt.,"Sits in the RF band-switch neighbourhood, consistent with a warning shown when changing bands that need a different antenna.",0x0801814C
FUN_08018244,0x0801AE44,UI_ShowSaveOkDialog,UI,High,"Decompile: fills a banner region, blits a 43x45 icon, draws "" Save OK"" (or the GB2312 equivalent) chosen by the language flag, then blocks ~1.5 s","Shows the bilingual ""Save OK"" confirmation popup.","*** CORRECTS MY OWN EARLIER GUESS *** I first called this UI_RefreshMainScreen from its shape (55 callers / 380 bytes in the old export). Both numbers were artefacts of the old project mis-bounding functions: correctly analysed it is 160 bytes with 5 callers. The string at 0x080182EC is "" Save OK"" and 0x080182F8 is GB2312 ""保存"". Language flag is SRAM 0x2000A7C0[8] (1 = Chinese).",0x08018244
FUN_0801863c,0x0801B23C,UI_LoadDisplayTimeout,UI,Low-Medium,"Decompile: stores (settings 0x2000A7E0[1] + 1) * 50 into a u16 countdown at 0x20010484+0x4E, with value 10 special-cased to 600",Loads the display/backlight inactivity countdown from settings.,"The special case at 10 is the usual ""maximum means a longer fixed value"" pattern. Shape-based; which timeout is unconfirmed.",0x0801863C
